Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
23.1,-21.48,1.54,0.27,94.09,-8.78,-0.09
23.25,-4.61,1.08,1.68,103.14,-14.54,-0.59
23.4,-4.28,0.22,1.78,92.95,-13.86,-0.63
23.55,-13.82,0.2,1.78,90.83,-13.9,-0.63
23.7,-13.82,1.4,1.68,95.8,-14.54,-0.59
23.85,-13.11,4.97,0.47,110.77,-11.31,-0.17
24.0,-10.8,4.14,0.24,111.0,-10.52,-0.08
24.15,-13.23,-0.0,0.24,90.0,-10.68,-0.08
24.3,-8.72,0.37,0.3,92.42,-9.74,-0.11
24.45,-10.36,0.46,0.87,92.55,-12.44,-0.31
24.6,-10.36,-0.69,0.67,86.22,-12.32,-0.24
24.75,-10.36,1.07,-0.02,95.88,-7.55,0.01
24.9,-10.36,1.05,-0.14,95.77,-7.65,0.05
25.05,-10.36,-2.76,-0.02,75.07,-9.71,0.01
25.2,-8.98,1.38,-0.24,98.75,-13.1,0.08
25.35,-2.53,1.3,-0.71,117.14,0.04,0.25
